Date,Price,Open,High,Low,Vol.,Change %
29-Oct-20,267.85,268.15,271.3,258.52,687.86K,-0.12%
28-Oct-20,268.17,264.07,280.67,259.22,1.17M,1.55%
27-Oct-20,264.07,259.37,267.94,256.91,639.05K,1.81%
26-Oct-20,259.37,270.98,272.96,252.87,647.83K,-4.30%
25-Oct-20,271.02,275.63,275.79,268.21,497.43K,-1.67%
24-Oct-20,275.63,270.36,277.63,267.67,493.26K,1.94%
23-Oct-20,270.38,267.77,275.84,264.39,659.17K,0.93%
22-Oct-20,267.88,258.35,274.46,258.23,868.13K,3.56%
21-Oct-20,258.67,240.67,263.77,240.03,910.09K,7.48%
20-Oct-20,240.66,249.74,249.9,238,579.91K,-3.63%
19-Oct-20,249.74,249.36,252.41,245.06,481.20K,0.15%
18-Oct-20,249.36,244.79,250.26,243.86,428.91K,1.85%
17-Oct-20,244.82,250.29,252.47,241.41,586.93K,-2.15%
16-Oct-20,250.21,262.24,266.42,244.14,1.14M,-4.57%
15-Oct-20,262.19,259.02,265.07,255.55,918.01K,1.23%
14-Oct-20,259.01,253.36,259.88,250.23,819.11K,2.22%
13-Oct-20,253.38,239.65,255.32,237.72,953.60K,5.72%
12-Oct-20,239.68,239.1,243.93,233.79,590.69K,0.24%
11-Oct-20,239.1,237.28,243.5,236.27,624.68K,0.76%
10-Oct-20,237.29,237.15,246.2,236.01,684.66K,0.06%
9-Oct-20,237.15,233.86,240.05,231.94,605.85K,1.43%
8-Oct-20,233.8,222.99,236.15,221.27,683.59K,4.78%
7-Oct-20,223.13,219.65,224.27,216.4,408.99K,1.58%
6-Oct-20,219.66,221.78,230.27,216.53,591.94K,-0.94%
5-Oct-20,221.75,220.91,222.67,218.21,336.57K,0.38%
4-Oct-20,220.91,218.48,222.69,216.46,317.46K,1.12%
3-Oct-20,218.47,219.63,221.25,217.63,289.00K,-0.53%
2-Oct-20,219.63,228,228.28,213.08,612.64K,-3.66%
1-Oct-20,227.97,228.06,233.64,221.94,575.94K,-0.01%
30-Sep-20,227.99,229.04,231,225.25,503.97K,-0.45%
29-Sep-20,229.02,225.78,230.12,224.59,486.62K,1.44%
28-Sep-20,225.78,229.4,234.67,224.07,635.61K,-1.53%
27-Sep-20,229.28,221.28,231.63,216.35,524.62K,3.62%
26-Sep-20,221.27,216.51,224.09,212.71,426.14K,2.22%
25-Sep-20,216.47,216.19,217.92,210.85,439.76K,0.12%
24-Sep-20,216.2,207.87,218.18,206.42,454.75K,4.07%
23-Sep-20,207.74,220.03,220.05,203.53,468.46K,-5.59%
22-Sep-20,220.04,212.37,220.13,210.7,411.72K,3.62%
21-Sep-20,212.36,226.25,228.82,208.23,702.32K,-6.14%
20-Sep-20,226.26,233.19,233.4,222.13,461.18K,-2.98%
19-Sep-20,233.2,233.98,237.46,231.53,530.71K,-0.35%
18-Sep-20,234.03,232.9,238.81,230.27,489.85K,0.48%
17-Sep-20,232.9,230.77,239.23,229.65,542.26K,0.96%
16-Sep-20,230.69,235.23,235.32,226.9,642.13K,-1.93%
15-Sep-20,235.23,225.79,241.3,224.96,998.75K,4.17%
14-Sep-20,225.8,222.15,228.74,219.2,541.71K,1.67%
13-Sep-20,222.1,230.12,234.45,219.62,609.22K,-3.48%
12-Sep-20,230.11,225.22,230.23,222.57,801.65K,2.17%
11-Sep-20,225.21,227.41,228.36,221.16,954.48K,-0.96%
10-Sep-20,227.4,224.07,230.23,223.87,1.16M,1.49%
9-Sep-20,224.07,222.32,228.21,218.75,947.59K,0.79%
8-Sep-20,222.32,228.74,230.33,216.36,1.46M,-2.81%
7-Sep-20,228.74,227.69,229.88,215.73,1.64M,0.46%
6-Sep-20,227.69,225.57,233.16,219.26,1.53M,0.97%
5-Sep-20,225.51,230.14,234.43,215.24,2.64M,-2.03%
4-Sep-20,230.17,214.48,239.14,212.86,2.40M,7.40%
3-Sep-20,214.32,263.92,266.28,202.93,2.30M,-18.79%
2-Sep-20,263.92,291.33,294.21,249.7,2.16M,-9.41%
1-Sep-20,291.33,273.68,295.19,269.74,1.57M,6.45%
31-Aug-20,273.67,279.38,281.22,272.96,965.99K,-2.04%
30-Aug-20,279.38,268.01,279.49,267.79,926.27K,4.24%
29-Aug-20,268.01,268.61,272.57,266.23,917.95K,-0.23%
28-Aug-20,268.62,264.65,271.6,261.13,1.10M,1.51%
