Date,Price,Open,High,Low,Vol.,Change %
29-Oct-20,11.29,11.45,11.79,11.11,17.26M,-1.44%
28-Oct-20,11.45,11.94,12.15,11.16,12.86M,-4.04%
27-Oct-20,11.94,11.72,12.45,11.5,12.03M,1.80%
26-Oct-20,11.73,12.15,12.44,11.3,14.13M,-3.47%
25-Oct-20,12.15,12.7,12.84,11.94,11.56M,-4.35%
24-Oct-20,12.7,12.16,12.94,12,13.03M,4.46%
23-Oct-20,12.16,11.96,12.26,11.6,14.96M,1.68%
22-Oct-20,11.96,10.81,12.39,10.72,19.17M,10.59%
21-Oct-20,10.81,9.86,11.11,9.8,15.87M,9.70%
20-Oct-20,9.86,10.91,10.93,9.78,13.09M,-9.69%
19-Oct-20,10.91,10.95,11.2,10.66,8.54M,-0.31%
18-Oct-20,10.95,10.63,10.98,10.6,6.84M,3.04%
17-Oct-20,10.62,10.59,10.7,10.43,6.66M,0.36%
16-Oct-20,10.59,10.75,10.88,10.29,12.29M,-1.50%
15-Oct-20,10.75,10.89,10.9,10.48,12.71M,-1.34%
14-Oct-20,10.89,11,11.32,10.63,14.72M,-0.95%
13-Oct-20,11,11.42,11.55,10.66,16.59M,-3.75%
12-Oct-20,11.42,10.85,11.79,10.7,21.41M,5.31%
11-Oct-20,10.85,10.52,11,10.17,13.30M,3.13%
10-Oct-20,10.52,10.39,10.88,10.39,14.78M,1.15%
9-Oct-20,10.4,9.55,10.51,9.38,19.49M,8.97%
8-Oct-20,9.54,8.98,9.67,8.45,17.85M,6.22%
7-Oct-20,8.98,8.77,9,8.39,12.66M,2.44%
6-Oct-20,8.77,9.62,9.65,8.64,12.22M,-8.80%
5-Oct-20,9.62,9.39,9.7,9.27,12.33M,2.33%
4-Oct-20,9.4,9.27,9.46,9.13,7.28M,1.36%
3-Oct-20,9.27,9.22,9.54,9.11,7.58M,0.58%
2-Oct-20,9.22,9.65,9.82,8.83,19.52M,-4.51%
1-Oct-20,9.65,9.87,10.39,9.39,15.36M,-2.23%
30-Sep-20,9.87,10.14,10.19,9.6,14.14M,-2.60%
29-Sep-20,10.14,10.28,10.38,9.47,22.83M,-1.44%
28-Sep-20,10.28,10.79,11.06,10.2,16.95M,-4.73%
27-Sep-20,10.79,10.3,10.98,9.95,16.61M,4.78%
26-Sep-20,10.3,10.71,11.07,10,19.71M,-3.80%
25-Sep-20,10.71,9.87,11.19,9.39,32.34M,8.52%
24-Sep-20,9.87,7.61,10.42,7.49,41.86M,29.61%
23-Sep-20,7.61,8.74,8.8,7.36,27.15M,-12.89%
22-Sep-20,8.74,8.72,9.07,8.6,14.76M,0.37%
21-Sep-20,8.71,9.74,9.91,8.52,25.86M,-10.58%
20-Sep-20,9.74,10.12,10.61,9.54,11.55M,-3.81%
19-Sep-20,10.12,10.09,10.49,9.88,10.17M,0.27%
18-Sep-20,10.1,11,11.12,9.81,16.22M,-8.14%
17-Sep-20,10.99,10.73,11.64,10.5,17.60M,2.46%
16-Sep-20,10.73,10.95,11.28,10.5,17.25M,-2.03%
15-Sep-20,10.95,12.13,12.23,10.78,18.61M,-9.76%
14-Sep-20,12.13,12.06,12.36,11.64,15.72M,0.66%
13-Sep-20,12.06,12.72,13.22,11.79,18.07M,-5.20%
12-Sep-20,12.72,12.44,12.73,12.11,11.06M,2.21%
11-Sep-20,12.44,12.52,12.68,12.03,13.03M,-0.65%
10-Sep-20,12.52,12.34,13.26,12.25,23.18M,1.47%
9-Sep-20,12.34,11.71,12.65,11.45,18.03M,5.41%
8-Sep-20,11.71,12.47,12.73,11.12,257.72K,-6.10%
7-Sep-20,12.47,12.81,13.16,11.22,31.03M,-2.71%
6-Sep-20,12.81,10.6,13.18,9.76,33.02M,20.95%
5-Sep-20,10.6,12.38,12.73,9.19,37.27M,-14.45%
4-Sep-20,12.38,11.88,12.88,11.01,29.50M,4.21%
