Date,Price,Open,High,Low,Vol.,Change %
29-Oct-20,1.0006,1,1.0006,0.9999,31.37M,0.03%
28-Oct-20,1.0003,1,1.0006,0.9999,34.56M,0.00%
27-Oct-20,1.0003,1.0009,1.001,1.0002,37.58M,-0.06%
26-Oct-20,1.0009,1.0005,1.0013,1.0003,30.64M,0.03%
25-Oct-20,1.0006,1.0009,1.0014,1.0006,18.62M,-0.03%
24-Oct-20,1.0009,1.0007,1.0014,1.0004,15.48M,0.02%
23-Oct-20,1.0007,1.0011,1.0015,1.0004,29.15M,-0.03%
22-Oct-20,1.001,1.0019,1.0021,1.0008,39.17M,-0.09%
21-Oct-20,1.0019,1.0011,1.0022,1.0006,47.20M,0.08%
20-Oct-20,1.0011,1.0008,1.0014,1.0005,37.02M,0.03%
19-Oct-20,1.0008,1.001,1.0015,1.0004,35.72M,-0.02%
18-Oct-20,1.001,1.0009,1.0014,1.0007,11.39M,0.01%
17-Oct-20,1.0009,1.0009,1.0016,1.0007,11.15M,-0.01%
16-Oct-20,1.001,1.001,1.0016,1.0006,28.86M,0.01%
15-Oct-20,1.0009,1.0012,1.0019,1.0007,36.18M,-0.04%
14-Oct-20,1.0013,1.0012,1.0018,1.0009,38.13M,0.01%
13-Oct-20,1.0012,1.0016,1.0021,1.0009,35.98M,-0.03%
12-Oct-20,1.0015,1.0012,1.0016,1.0007,35.50M,0.05%
11-Oct-20,1.001,1.0011,1.0017,1.0005,21.49M,-0.01%
10-Oct-20,1.0011,1.0014,1.0022,1.0009,25.66M,-0.03%
9-Oct-20,1.0014,1.0014,1.0021,1.0011,35.97M,0.00%
8-Oct-20,1.0015,1.0016,1.0019,1.0008,39.68M,0.06%
7-Oct-20,1.0008,1.0006,1.0015,1,41.27M,0.03%
6-Oct-20,1.0006,1.0011,1.0022,1.0005,40.31M,-0.05%
5-Oct-20,1.0011,1.0015,1.0022,1.0005,39.94M,-0.04%
4-Oct-20,1.0015,1.0013,1.0023,1.0013,18.86M,0.02%
3-Oct-20,1.0013,1.0011,1.0021,1.001,15.06M,0.01%
2-Oct-20,1.0012,1.0009,1.0022,1.0004,40.44M,0.02%
1-Oct-20,1.001,1.0015,1.0021,1.0003,40.15M,0.01%
30-Sep-20,1.0009,1.0016,1.0019,1.0004,26.14M,-0.01%
29-Sep-20,1.001,1.0016,1.002,1.0006,33.50M,-0.02%
28-Sep-20,1.0011,1.0023,1.003,1.0009,35.13M,-0.12%
