Date,Price,Open,High,Low,Vol.,Change %
29-Oct-20,0.24396,0.24552,0.24702,0.23962,984.79M,-0.62%
28-Oct-20,0.24549,0.25268,0.25667,0.24431,990.70M,-2.83%
27-Oct-20,0.25265,0.24815,0.25396,0.24765,897.91M,1.80%
26-Oct-20,0.24818,0.25311,0.25904,0.24363,1.00B,-1.98%
25-Oct-20,0.25319,0.25611,0.25708,0.25122,804.28M,-1.14%
24-Oct-20,0.25611,0.25471,0.2576,0.25256,726.90M,0.55%
23-Oct-20,0.25471,0.25701,0.25917,0.25022,765.49M,-0.96%
22-Oct-20,0.25718,0.25105,0.26354,0.25083,1.10B,2.45%
21-Oct-20,0.25102,0.24324,0.25555,0.24261,1.12B,3.20%
20-Oct-20,0.24324,0.24564,0.25021,0.24155,1.04B,-0.95%
19-Oct-20,0.24558,0.24216,0.24942,0.24013,1.08B,1.34%
18-Oct-20,0.24233,0.24057,0.2434,0.24007,1.12B,0.72%
17-Oct-20,0.24059,0.24022,0.24316,0.23869,1.11B,0.16%
16-Oct-20,0.2402,0.24588,0.24784,0.23772,1.15B,-2.30%
15-Oct-20,0.24585,0.24912,0.25002,0.24307,1.13B,-1.31%
14-Oct-20,0.24912,0.25654,0.25831,0.24613,1.07B,-2.90%
13-Oct-20,0.25656,0.25596,0.25997,0.25277,1.29B,0.19%
12-Oct-20,0.25606,0.2554,0.25819,0.24918,1.39B,0.27%
11-Oct-20,0.25537,0.25391,0.25848,0.25327,1.13B,0.57%
10-Oct-20,0.25392,0.25299,0.2601,0.25288,1.24B,0.40%
9-Oct-20,0.25291,0.25117,0.25662,0.24957,1.25B,0.71%
8-Oct-20,0.25113,0.24862,0.25289,0.24208,975.37M,0.97%
7-Oct-20,0.24872,0.24562,0.2514,0.24097,1.15B,1.24%
6-Oct-20,0.24567,0.25051,0.25916,0.24074,1.41B,-1.85%
5-Oct-20,0.2503,0.24792,0.2542,0.24637,1.16B,0.99%
4-Oct-20,0.24785,0.23265,0.25014,0.23152,1.30B,6.50%
3-Oct-20,0.23273,0.23396,0.23523,0.23255,1.08B,-0.50%
2-Oct-20,0.2339,0.23824,0.23934,0.22849,1.23B,-1.83%
1-Oct-20,0.23826,0.24183,0.24439,0.23418,1.24B,-1.44%
30-Sep-20,0.24174,0.24288,0.24288,0.23774,1.22B,-0.42%
29-Sep-20,0.24274,0.24105,0.24661,0.23845,1.25B,0.73%
28-Sep-20,0.24099,0.24331,0.24838,0.24017,1.40B,-0.98%
27-Sep-20,0.24339,0.24151,0.24468,0.23743,943.95M,0.75%
26-Sep-20,0.24157,0.24149,0.24546,0.23776,939.30M,0.01%
25-Sep-20,0.24155,0.23279,0.24467,0.22962,875.93M,3.79%
24-Sep-20,0.23273,0.22146,0.23383,0.21955,791.79M,5.09%
23-Sep-20,0.22145,0.23297,0.23503,0.22042,705.56M,-4.94%
22-Sep-20,0.23295,0.23079,0.23451,0.22942,835.78M,0.92%
21-Sep-20,0.23083,0.2466,0.24808,0.22928,1.24B,-6.32%
20-Sep-20,0.24641,0.25082,0.25131,0.2425,774.90M,-1.87%
19-Sep-20,0.25111,0.25061,0.25459,0.24748,862.88M,0.20%
18-Sep-20,0.25061,0.25214,0.25523,0.24641,1.09B,-0.59%
17-Sep-20,0.25209,0.24683,0.25821,0.24614,1.10B,2.17%
16-Sep-20,0.24674,0.24331,0.25112,0.23431,1.09B,1.41%
15-Sep-20,0.24331,0.24559,0.24939,0.24218,1.07B,-0.97%
14-Sep-20,0.2457,0.24203,0.24833,0.23915,1.07B,1.50%
13-Sep-20,0.24206,0.24741,0.25336,0.23778,1.02B,-2.19%
12-Sep-20,0.24748,0.24258,0.24873,0.24023,1.35B,2.02%
11-Sep-20,0.24257,0.24311,0.24441,0.23701,1.35B,-0.23%
10-Sep-20,0.24312,0.23901,0.24858,0.23888,1.56B,1.71%
9-Sep-20,0.23904,0.2365,0.24273,0.23312,1.43B,1.07%
8-Sep-20,0.2365,0.242,0.24355,0.23133,1.75B,-2.30%
7-Sep-20,0.24207,0.23985,0.24285,0.22986,1.77B,0.93%
6-Sep-20,0.23984,0.23737,0.2434,0.22977,1.78B,1.05%
5-Sep-20,0.23736,0.25403,0.25941,0.23152,2.22B,-6.56%
4-Sep-20,0.25404,0.2443,0.26547,0.24113,2.07B,3.99%
