,Date,GOLD,sp500,VNQ,BITCOIN,Sum
0,2019-10-29,1520.6,2938.13,80.98,9387.3,3554.71
1,2019-10-30,1526.5,2970.27,81.98,9162.4,3581.21
2,2019-10-31,1544.0,2966.15,83.41,9208.0,3576.71
3,2019-11-01,1541.3,2995.68,83.02,9170.2,3608.08
4,2019-11-04,1541.6,2989.69,83.02,9155.8,3646.2300000000014
5,2019-11-05,1514.5,2997.95,83.35,9135.3,3639.78
6,2019-11-06,1523.9,2986.2,81.98,9198.7,3631.2300000000014
7,2019-11-07,1497.7,3006.72,81.86,9253.4,3639.99
8,2019-11-08,1496.3,2995.99,82.4,9243.6,3642.33
9,2019-11-11,1488.0,3004.52,81.93,9300.8,3619.27
10,2019-11-12,1484.2,3010.29,81.93,9233.3,3627.18
11,2019-11-13,1493.9,3022.55,81.93,9285.1,3591.71
12,2019-11-14,1504.0,3039.42,80.54,9235.7,3612.18
13,2019-11-15,1499.1,3036.89,78.96,9429.9,3629.6
14,2019-11-18,1502.4,3046.77,78.72,9256.0,3639.12
15,2019-11-19,1504.8,3037.56,79.29,9339.0,3633.87
16,2019-11-20,1504.5,3066.91,77.7,9081.0,3615.86
17,2019-11-21,1494.0,3078.27,77.7,9134.4,3609.97
18,2019-11-22,1494.4,3074.62,77.7,9067.1,3614.13
19,2019-11-25,1488.1,3076.78,76.72,9085.1,3661.41
20,2019-11-26,1491.0,3085.18,76.31,9229.9,3687.47
21,2019-11-27,1484.4,3093.08,78.68,9135.4,3715.53
22,2019-11-29,1496.6,3091.84,80.16,9124.0,3688.0
23,2019-12-02,1493.1,3094.04,82.01,9008.3,3646.19
24,2019-12-03,1508.6,3096.63,83.64,9160.0,3634.54
25,2019-12-04,1504.5,3120.46,83.2,9247.5,3648.1
26,2019-12-05,1507.5,3122.03,82.21,9302.0,3636.06
27,2019-12-06,1489.9,3120.18,80.25,9624.6,3667.07
28,2019-12-09,1489.8,3108.46,80.25,9683.7,3663.07
29,2019-12-10,1493.2,3103.54,80.7,9296.4,3643.21
30,2019-12-11,1500.1,3110.29,81.7,9358.8,3661.85
31,2019-12-12,1497.5,3133.64,80.9,9314.0,3671.87
32,2019-12-13,1506.9,3140.52,81.9,9388.1,3669.21
33,2019-12-16,1506.7,3153.63,82.33,9464.6,3702.01
34,2019-12-17,1506.8,3140.98,83.33,9523.5,3729.52
35,2019-12-18,1504.3,3113.87,81.81,9425.4,3729.18
36,2019-12-19,1510.0,3093.2,81.75,9345.3,3757.01
37,2019-12-20,1506.4,3112.76,82.59,9471.3,3750.78
38,2019-12-23,1514.4,3117.43,82.59,9466.6,3753.91
39,2019-12-24,1530.5,3145.91,82.05,9283.2,3743.03
40,2019-12-26,1540.3,3132.52,81.61,9768.8,3844.14
41,2019-12-27,1544.4,3141.63,81.4,9777.9,3834.08
42,2019-12-30,1545.4,3168.57,80.88,9742.6,3787.2
43,2019-12-31,1550.6,3168.8,80.88,9669.6,3789.46
44,2020-01-02,1555.2,3192.52,79.99,9794.4,3881.37
45,2020-01-03,1579.6,3191.14,81.42,9667.2,3845.42
46,2020-01-06,1596.1,3205.37,81.81,9527.6,3924.07
47,2020-01-07,1601.3,3221.22,81.15,10189.3,3920.38
48,2020-01-08,1587.0,3224.01,81.14,9454.8,3927.29
49,2020-01-09,1581.4,3223.38,82.15,9692.5,3952.21
50,2020-01-10,1587.0,3239.91,81.33,9424.8,3936.81
51,2020-01-13,1577.5,3240.02,82.52,9572.2,3971.4
52,2020-01-14,1571.2,3221.29,82.39,9199.1,3935.95
53,2020-01-15,1580.3,3230.78,82.39,8842.5,3939.27
54,2020-01-16,1576.9,3257.85,82.39,8898.2,3967.3
55,2020-01-17,1587.2,3234.85,81.23,8728.2,3985.73
56,2020-01-21,1584.7,3253.05,80.31,9059.0,4012.94
57,2020-01-22,1583.5,3274.7,81.39,9512.3,3998.38
58,2020-01-23,1592.1,3265.35,81.39,9773.3,4018.44
59,2020-01-24,1599.0,3288.13,81.54,9730.7,3978.49
60,2020-01-27,1604.6,3283.15,82.07,9677.7,3895.06
61,2020-01-28,1596.9,3289.29,80.51,9379.5,3949.48
62,2020-01-29,1597.9,3316.81,78.94,9318.0,3962.17
63,2020-01-30,1610.7,3329.62,78.2,9778.4,3963.17
64,2020-01-31,1609.4,3320.79,78.2,9298.7,4065.88
65,2020-02-03,1604.0,3321.75,78.2,8813.8,4126.16
66,2020-02-04,1577.5,3325.54,78.78,8579.8,4153.63
67,2020-02-05,1584.7,3295.47,79.11,8738.8,4146.06
68,2020-02-06,1591.7,3243.63,77.92,9554.6,4185.3
69,2020-02-07,1595.0,3276.24,77.73,9806.2,4217.5
70,2020-02-10,1600.7,3273.4,78.67,9979.8,4307.09
71,2020-02-11,1591.1,3283.66,77.66,9151.4,4321.64
72,2020-02-12,1592.4,3225.52,78.6,9001.0,4351.2
73,2020-02-13,1599.6,3248.92,77.84,8874.7,4339.02
74,2020-02-14,1606.9,3297.59,77.19,8885.5,4329.42
75,2020-02-18,1624.0,3327.71,78.12,8629.0,4360.440000000001
76,2020-02-19,1632.2,3352.09,77.88,8770.9,4379.68
77,2020-02-20,1640.8,3357.75,78.37,7746.9,4350.75
