Date,GOLD
2020-10-29,1868.65
2020-10-28,1879.2
2020-10-27,1911.9
2020-10-26,1905.7
2020-10-23,1905.2
2020-10-22,1904.6
2020-10-21,1929.5
2020-10-20,1915.4
2020-10-19,1911.7
2020-10-16,1906.4
2020-10-15,1908.9
2020-10-14,1907.3
2020-10-13,1894.6
2020-10-12,1928.9
2020-10-09,1926.2
2020-10-08,1895.1
2020-10-07,1890.8
2020-10-06,1908.8
2020-10-05,1920.1
2020-10-02,1907.6
2020-10-01,1916.3
2020-09-30,1895.5
2020-09-29,1903.2
2020-09-28,1882.3
2020-09-25,1866.3
2020-09-24,1876.9
2020-09-23,1868.4
2020-09-22,1907.6
2020-09-21,1910.6
2020-09-18,1962.1
2020-09-17,1949.9
2020-09-16,1970.5
2020-09-15,1966.2
2020-09-14,1963.7
2020-09-11,1947.9
2020-09-10,1964.3
2020-09-09,1954.9
2020-09-08,1943.2
2020-09-07,1937.1
2020-09-06,1940.65
2020-09-04,1934.3
2020-09-03,1937.8
2020-09-02,1944.7
2020-09-01,1978.9
2020-08-31,1978.6
2020-08-28,1974.9
2020-08-27,1932.6
2020-08-26,1952.5
2020-08-25,1923.1
2020-08-24,1939.2
2020-08-21,1947.0
2020-08-20,1946.5
2020-08-19,1970.3
2020-08-18,2013.1
2020-08-17,1998.7
2020-08-14,1949.8
2020-08-13,1970.4
2020-08-12,1949.0
2020-08-11,1946.3
2020-08-10,2039.7
2020-08-07,2028.0
2020-08-06,2069.4
2020-08-05,2049.3
2020-08-04,2021.0
2020-08-03,1986.3
2020-07-31,1985.9
2020-07-30,1966.8
2020-07-29,1976.7
2020-07-28,1963.9
2020-07-27,1955.4
2020-07-24,1925.2
2020-07-23,1917.4
2020-07-22,1892.6
2020-07-21,1869.6
2020-07-20,1840.1
2020-07-17,1833.7
2020-07-16,1826.5
2020-07-15,1841.6
2020-07-14,1841.5
2020-07-13,1843.7
2020-07-10,1831.3
2020-07-09,1833.5
2020-07-08,1850.6
2020-07-07,1834.3
2020-07-06,1816.1
2020-07-03,1787.6
2020-07-02,1812.0
2020-07-01,1801.9
2020-06-30,1820.4
2020-06-29,1800.1
2020-06-26,1798.5
2020-06-25,1788.4
2020-06-24,1792.6
2020-06-23,1797.1
2020-06-22,1781.7
2020-06-19,1768.6
2020-06-18,1747.9
2020-06-17,1753.4
2020-06-16,1754.4
2020-06-15,1744.9
2020-06-12,1755.2
2020-06-11,1757.6
2020-06-10,1739.0
2020-06-09,1740.3
2020-06-08,1723.8
2020-06-05,1701.9
2020-06-04,1746.4
2020-06-03,1723.5
2020-06-02,1749.7
2020-06-01,1763.7
2020-05-29,1765.7
2020-05-28,1742.7
2020-05-27,1740.5
2020-05-26,1740.5
2020-05-25,1727.0
2020-05-24,1730.65
2020-05-22,1765.6
2020-05-21,1750.4
2020-05-20,1781.7
2020-05-19,1773.4
2020-05-18,1760.6
2020-05-15,1778.7
2020-05-14,1762.0
2020-05-13,1737.3
2020-05-12,1728.0
2020-05-11,1720.9
2020-05-08,1735.2
2020-05-07,1743.7
2020-05-06,1704.4
2020-05-05,1728.0
2020-05-04,1725.9
2020-05-01,1712.0
2020-04-30,1704.9
2020-04-29,1722.4
2020-04-28,1731.2
2020-04-27,1731.4
2020-04-24,1741.7
2020-04-23,1751.0
2020-04-22,1743.5
2020-04-21,1692.1
2020-04-20,1715.3
2020-04-17,1702.7
2020-04-16,1736.3
2020-04-15,1744.7
2020-04-14,1771.2
2020-04-13,1762.7
2020-04-10,1740.6
2020-04-09,1753.6
2020-04-08,1684.1
2020-04-07,1683.7
2020-04-06,1693.1
2020-04-03,1646.5
2020-04-02,1638.9
2020-04-01,1592.5
2020-03-31,1597.6
2020-03-30,1644.1
2020-03-27,1655.0
2020-03-26,1662.0
2020-03-25,1633.3
2020-03-24,1663.0
2020-03-23,1581.4
2020-03-20,1495.1
2020-03-19,1489.4
2020-03-18,1487.1
2020-03-17,1534.1
2020-03-16,1493.8
2020-03-13,1524.9
2020-03-12,1598.8
2020-03-11,1650.8
2020-03-10,1669.0
2020-03-09,1684.1
2020-03-06,1683.0
