Date,FB,AAPL,AMZN,NFLX,GOOGL
2019-10-29,189.31,60.82,1762.71,281.21,1260.66
2019-10-30,188.25,60.82,1779.99,291.45,1260.7
2019-10-31,191.65,62.19,1776.66,287.41,1258.8
2019-11-01,193.62,63.96,1791.44,286.81,1272.25
2019-11-04,194.72,64.38,1804.66,292.86,1289.61
2019-11-05,194.32,64.28,1801.71,288.03,1291.44
2019-11-06,191.55,64.31,1795.77,288.59,1291.01
2019-11-07,190.42,64.86,1788.2,289.57,1306.94
2019-11-08,190.84,65.04,1785.88,291.57,1309.0
2019-11-11,189.61,65.55,1771.65,294.18,1298.28
2019-11-12,194.47,65.49,1778.0,292.01,1297.21
2019-11-13,193.19,66.12,1753.11,283.11,1296.18
2019-11-14,193.15,65.66,1754.6,289.62,1309.15
2019-11-15,195.1,66.44,1739.49,295.03,1333.54
2019-11-18,197.4,66.78,1752.53,302.57,1319.84
2019-11-19,199.32,66.57,1752.79,302.6,1312.59
2019-11-20,197.51,65.8,1745.53,305.16,1301.86
2019-11-21,197.93,65.5,1734.71,311.69,1300.14
2019-11-22,198.82,65.44,1745.72,310.48,1293.67
2019-11-25,199.79,66.59,1773.84,315.55,1305.64
2019-11-26,198.97,66.07,1796.94,312.49,1313.0
2019-11-27,202.0,66.96,1818.51,315.93,1312.13
2019-11-29,201.64,66.81,1800.8,314.66,1304.09
2019-12-02,199.7,66.04,1781.6,309.99,1288.86
2019-12-03,198.82,64.86,1769.96,306.16,1294.74
2019-12-04,198.71,65.44,1760.69,304.32,1318.94
2019-12-05,199.36,66.4,1740.48,302.86,1326.96
2019-12-06,201.05,67.68,1751.6,307.35,1339.39
2019-12-09,201.34,66.73,1749.51,302.5,1342.99
2019-12-10,200.87,67.12,1739.21,293.12,1342.89
2019-12-11,202.26,67.69,1748.72,298.93,1344.25
2019-12-12,196.75,67.86,1760.33,298.44,1348.49
2019-12-13,194.11,68.79,1760.94,298.5,1346.87
2019-12-16,197.92,69.97,1769.21,304.21,1360.7
2019-12-17,198.39,70.1,1790.66,315.48,1354.89
2019-12-18,202.5,69.94,1784.03,320.8,1351.91
2019-12-19,206.06,70.01,1792.28,332.22,1356.44
2019-12-20,206.3,69.86,1786.5,336.9,1351.22
2019-12-23,206.18,71.0,1793.0,333.1,1350.63
2019-12-24,205.12,71.07,1789.21,333.2,1344.43
2019-12-26,207.79,72.48,1868.77,332.63,1362.47
2019-12-27,208.1,72.45,1869.8,329.09,1354.64
2019-12-30,204.41,72.88,1846.89,323.31,1339.71
2019-12-31,205.25,73.41,1847.84,323.57,1339.39
2020-01-02,209.78,75.09,1898.01,329.81,1368.68
2020-01-03,208.67,74.36,1874.97,325.9,1361.52
2020-01-06,212.6,74.95,1902.88,335.83,1397.81
2020-01-07,213.06,74.6,1906.86,330.75,1395.11
2020-01-08,215.22,75.8,1891.97,339.26,1405.04
2020-01-09,218.3,77.41,1901.05,335.66,1419.79
2020-01-10,218.06,77.58,1883.16,329.05,1428.96
2020-01-13,221.91,79.24,1891.3,338.92,1440.03
2020-01-14,219.06,78.17,1869.44,338.69,1430.59
2020-01-15,221.15,77.83,1862.02,339.07,1439.2
2020-01-16,221.77,78.81,1877.94,338.62,1450.16
2020-01-17,222.14,79.68,1864.72,339.67,1479.52
2020-01-21,221.44,79.14,1892.0,338.11,1482.25
2020-01-22,221.32,79.43,1887.46,326.0,1484.17
2020-01-23,219.76,79.81,1884.58,349.6,1484.69
2020-01-24,217.94,79.58,1861.64,353.16,1466.17
2020-01-27,214.87,77.24,1828.34,342.88,1431.73
2020-01-28,217.79,79.42,1853.25,348.52,1450.5
2020-01-29,223.23,81.08,1858.0,343.16,1456.7
2020-01-30,209.53,80.97,1870.68,347.74,1454.25
2020-01-31,201.91,77.38,2008.72,345.09,1432.78
2020-02-03,204.19,77.17,2004.2,358.0,1482.6
2020-02-04,209.83,79.71,2049.67,369.01,1445.41
2020-02-05,210.11,80.36,2039.87,369.67,1446.05
2020-02-06,210.85,81.3,2050.23,366.95,1475.97
2020-02-07,212.33,80.01,2079.28,366.77,1479.11
2020-02-10,213.06,80.39,2133.91,371.07,1508.66
2020-02-11,207.19,79.9,2150.8,373.69,1510.06
2020-02-12,210.76,81.8,2160.0,380.01,1518.63
2020-02-13,213.14,81.22,2149.87,381.4,1513.39
2020-02-14,214.18,81.24,2134.87,380.4,1518.73
2020-02-18,217.8,79.75,2155.67,387.78,1519.44
2020-02-19,217.49,80.91,2170.22,386.19,1524.87
2020-02-20,214.58,80.08,2153.1,386.0,1516.99
2020-02-21,210.18,78.26,2095.97,380.07,1483.46
2020-02-24,200.72,74.55,2009.29,368.7,1419.86
2020-02-25,196.77,72.02,1972.74,360.09,1386.32
2020-02-26,197.2,73.16,1979.59,379.24,1390.47
2020-02-27,189.75,68.38,1884.3,371.71,1314.95
2020-02-28,192.47,68.34,1883.75,369.03,1339.25
2020-03-02,196.44,74.7,1953.95,381.05,1386.32
2020-03-03,185.89,72.33,1908.99,368.77,1337.72
2020-03-04,191.76,75.69,1975.83,383.79,1381.6
2020-03-05,185.17,73.23,1924.03,372.78,1314.76
2020-03-06,181.09,72.26,1901.09,368.97,1295.74
2020-03-09,169.5,66.54,1800.61,346.49,1215.79
2020-03-10,178.19,71.33,1891.82,364.13,1275.17
2020-03-11,170.24,68.86,1820.86,349.92,1210.9
2020-03-12,154.47,62.06,1676.61,315.25,1111.55
2020-03-13,170.28,69.49,1785.0,336.3,1214.27
