Date,sp500
2020-10-29,3310.11
2020-10-28,3271.03
2020-10-27,3390.68
2020-10-26,3400.97
2020-10-23,3465.39
2020-10-22,3453.49
2020-10-21,3435.56
2020-10-20,3443.12
2020-10-19,3426.92
2020-10-16,3483.81
2020-10-15,3483.34
2020-10-14,3488.67
2020-10-13,3511.93
2020-10-12,3534.22
2020-10-09,3477.13
2020-10-08,3446.83
2020-10-07,3419.45
2020-10-06,3360.95
2020-10-05,3408.63
2020-10-02,3348.44
2020-10-01,3380.8
2020-09-30,3363.0
2020-09-29,3335.47
2020-09-28,3351.6
2020-09-25,3298.46
2020-09-24,3246.59
2020-09-23,3236.92
2020-09-22,3315.57
2020-09-21,3281.06
2020-09-18,3319.47
2020-09-17,3357.01
2020-09-16,3385.49
2020-09-15,3401.2
2020-09-14,3383.54
2020-09-11,3340.97
2020-09-10,3339.19
2020-09-09,3398.96
2020-09-08,3331.84
2020-09-04,3426.96
2020-09-03,3455.06
2020-09-02,3580.84
2020-09-01,3526.65
2020-08-31,3500.31
2020-08-28,3508.01
2020-08-27,3484.55
2020-08-26,3478.73
2020-08-25,3443.62
2020-08-24,3431.28
2020-08-21,3397.16
2020-08-20,3385.51
2020-08-19,3374.85
2020-08-18,3389.78
2020-08-17,3381.99
2020-08-14,3372.85
2020-08-13,3373.43
2020-08-12,3380.35
2020-08-11,3333.69
2020-08-10,3360.47
2020-08-07,3351.28
2020-08-06,3349.16
2020-08-05,3327.77
2020-08-04,3306.51
2020-08-03,3294.61
2020-07-31,3271.12
2020-07-30,3246.22
2020-07-29,3258.44
2020-07-28,3218.44
2020-07-27,3239.41
2020-07-24,3215.63
2020-07-23,3235.66
2020-07-22,3276.02
2020-07-21,3257.3
2020-07-20,3251.84
2020-07-17,3224.73
2020-07-16,3215.57
2020-07-15,3226.56
2020-07-14,3197.52
2020-07-13,3155.22
2020-07-10,3185.04
2020-07-09,3152.05
2020-07-08,3169.94
2020-07-07,3145.32
2020-07-06,3179.72
2020-07-02,3130.01
2020-07-01,3115.86
2020-06-30,3100.29
2020-06-29,3053.24
2020-06-26,3009.05
2020-06-25,3083.76
2020-06-24,3050.33
2020-06-23,3131.29
2020-06-22,3117.86
2020-06-19,3097.74
2020-06-18,3115.34
2020-06-17,3113.49
2020-06-16,3124.74
2020-06-15,3066.59
2020-06-12,3041.31
2020-06-11,3002.1
2020-06-10,3190.14
2020-06-09,3207.18
2020-06-08,3232.39
2020-06-05,3193.93
2020-06-04,3112.35
2020-06-03,3122.87
2020-06-02,3080.82
2020-06-01,3055.73
2020-05-29,3044.31
2020-05-28,3029.73
2020-05-27,3036.13
2020-05-26,2991.77
2020-05-22,2955.45
2020-05-21,2948.51
2020-05-20,2971.61
2020-05-19,2922.94
2020-05-18,2953.91
2020-05-15,2863.7
2020-05-14,2852.5
2020-05-13,2820.0
2020-05-12,2870.12
2020-05-11,2930.32
2020-05-08,2929.8
2020-05-07,2881.19
2020-05-06,2848.42
2020-05-05,2868.44
2020-05-04,2842.74
2020-05-01,2830.71
2020-04-30,2912.43
2020-04-29,2939.51
2020-04-28,2863.39
2020-04-27,2878.48
2020-04-24,2836.74
2020-04-23,2797.8
2020-04-22,2799.31
2020-04-21,2736.56
2020-04-20,2823.16
2020-04-17,2874.56
2020-04-16,2799.55
2020-04-15,2783.36
2020-04-14,2846.06
2020-04-13,2761.63
2020-04-09,2789.82
2020-04-08,2749.98
2020-04-07,2659.41
2020-04-06,2663.68
2020-04-03,2488.65
2020-04-02,2526.9
2020-04-01,2470.5
2020-03-31,2584.59
2020-03-30,2626.65
2020-03-27,2541.47
2020-03-26,2630.07
2020-03-25,2475.56
2020-03-24,2447.33
2020-03-23,2237.4
2020-03-20,2304.92
2020-03-19,2409.39
2020-03-18,2398.1
2020-03-17,2529.19
2020-03-16,2386.13
2020-03-13,2711.02
2020-03-12,2480.64
2020-03-11,2741.38
2020-03-10,2882.23
2020-03-09,2746.56
2020-03-06,2972.37
2020-03-05,3023.94
2020-03-04,3130.12
2020-03-03,3003.37
2020-03-02,3090.23
2020-02-28,2954.22
2020-02-27,2978.76
2020-02-26,3116.39
2020-02-25,3128.21
2020-02-24,3225.89
2020-02-21,3337.75
2020-02-20,3373.23
2020-02-19,3386.15
2020-02-18,3370.29
2020-02-14,3380.16
2020-02-13,3373.94
2020-02-12,3379.45
2020-02-11,3357.75
2020-02-10,3352.09
2020-02-07,3327.71
2020-02-06,3345.78
2020-02-05,3334.69
2020-02-04,3297.59
2020-02-03,3248.92
2020-01-31,3225.52
2020-01-30,3283.66
2020-01-29,3273.4
2020-01-28,3276.24
2020-01-27,3243.63
2020-01-24,3295.47
2020-01-23,3325.54
2020-01-22,3321.75
2020-01-21,3320.79
2020-01-17,3329.62
2020-01-16,3316.81
2020-01-15,3289.29
2020-01-14,3283.15
2020-01-13,3288.13
2020-01-10,3265.35
2020-01-09,3274.7
2020-01-08,3253.05
2020-01-07,3237.18
2020-01-06,3246.28
2020-01-03,3234.85
2020-01-02,3257.85
2019-12-31,3230.78
2019-12-30,3221.29
2019-12-27,3240.02
2019-12-26,3239.91
2019-12-24,3223.38
2019-12-23,3224.01
2019-12-20,3221.22
2019-12-19,3205.37
2019-12-18,3191.14
2019-12-17,3192.52
2019-12-16,3191.45
2019-12-13,3168.8
2019-12-12,3168.57
2019-12-11,3141.63
2019-12-10,3132.52
2019-12-09,3135.96
2019-12-06,3145.91
2019-12-05,3117.43
2019-12-04,3112.76
2019-12-03,3093.2
2019-12-02,3113.87
2019-11-29,3140.98
2019-11-27,3153.63
2019-11-26,3140.52
2019-11-25,3133.64
2019-11-22,3110.29
2019-11-21,3103.54
2019-11-20,3108.46
2019-11-19,3120.18
2019-11-18,3122.03
2019-11-15,3120.46
2019-11-14,3096.63
2019-11-13,3094.04
2019-11-12,3091.84
2019-11-11,3087.01
2019-11-08,3093.08
2019-11-07,3085.18
2019-11-06,3076.78
2019-11-05,3074.62
2019-11-04,3078.27
2019-11-01,3066.91
2019-10-31,3037.56
2019-10-30,3046.77
2019-10-29,3036.89
2019-10-28,3039.42
2019-10-25,3022.55
2019-10-24,3010.29
2019-10-23,3004.52
2019-10-22,2995.99
2019-10-21,3006.72
2019-10-18,2986.2
2019-10-17,2997.95
2019-10-16,2989.69
2019-10-15,2995.68
2019-10-14,2966.15
2019-10-11,2970.27
2019-10-10,2938.13
2019-10-09,2919.4
2019-10-08,2893.06
2019-10-07,2938.79
2019-10-04,2952.01
