Date,FANG,GOLD,sp500,VNQ,BTC
2019-10-29,3554.71,1520.6,2938.13,80.98,9218.76
2019-10-30,3581.21,1526.5,2970.27,81.98,9433.35
2019-10-31,3576.71,1544,2966.15,83.41,9164.62
2019-11-01,3608.08,1541.3,2995.68,83.02,9147.98
2019-11-04,3646.23,1541.6,2989.69,83.02,9155.8
2019-11-05,3639.78,1514.5,2997.95,83.35,9206.16
2019-11-06,3631.23,1523.9,2986.2,81.98,9418.05
2019-11-07,3639.99,1497.7,3006.72,81.86,9310.19
2019-11-08,3642.33,1496.3,2995.99,82.4,9343.34
2019-11-11,3619.27,1488,3004.52,81.93,9204.24
2019-11-12,3627.18,1484.2,3010.29,81.93,9037.12
2019-11-13,3591.71,1493.9,3022.55,81.93,8717.81
2019-11-14,3612.18,1504,3039.42,80.54,8801.52
2019-11-15,3629.6,1499.1,3036.89,78.96,8762.42
2019-11-18,3639.12,1502.4,3046.77,78.72,8632.32
2019-11-19,3633.87,1504.8,3037.56,79.29,8503.93
2019-11-20,3615.86,1504.5,3066.91,77.7,8175.99
2019-11-21,3609.97,1494,3078.27,77.7,8120.8
2019-11-22,3614.13,1494.4,3074.62,77.7,8081.81
2019-11-25,3661.41,1488.1,3076.78,76.72,7617.07
2019-11-26,3687.47,1491,3085.18,76.31,6907.4
2019-11-27,3715.53,1484.4,3093.08,78.68,7130.25
2019-11-28,,1462.25,3087.01,77.75,7163.63
2019-11-29,3688,1496.6,3091.84,80.16,7523.83
2019-12-02,3646.19,1493.1,3094.04,82.01,7431
2019-12-03,3634.54,1508.6,3096.63,83.64,7402.69
2019-12-04,3648.1,1504.5,3120.46,83.2,7309.59
2019-12-05,3636.06,1507.5,3122.03,82.21,7296.77
2019-12-06,3667.07,1489.9,3120.18,80.25,7192.85
2019-12-09,3663.07,1489.8,3108.46,80.25,7395.97
2019-12-10,3643.21,1493.2,3103.54,80.7,7522.39
2019-12-11,3661.85,1500.1,3110.29,81.7,7337.42
2019-12-12,3671.87,1497.5,3133.64,80.9,7220.76
