"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 30, 2020","1,865.30","1,868.70","1,868.70","1,864.60","-","-0.18%"
"Oct 29, 2020","1,868.65","1,879.85","1,885.05","1,859.45","-","-0.56%"
"Oct 28, 2020","1,879.20","1,909.80","1,912.60","1,869.10","297.09K","-1.71%"
"Oct 27, 2020","1,911.90","1,904.40","1,913.80","1,898.70","153.30K","0.33%"
"Oct 26, 2020","1,905.70","1,906.00","1,911.10","1,892.50","166.31K","0.03%"
"Oct 23, 2020","1,905.20","1,906.50","1,917.30","1,895.20","172.96K","0.03%"
"Oct 22, 2020","1,904.60","1,927.40","1,929.40","1,894.20","215.58K","-1.29%"
"Oct 21, 2020","1,929.50","1,911.60","1,936.00","1,911.60","201.27K","0.74%"
"Oct 20, 2020","1,915.40","1,906.40","1,917.60","1,896.60","163.91K","0.19%"
"Oct 19, 2020","1,911.70","1,903.20","1,923.40","1,900.20","159.85K","0.28%"
"Oct 16, 2020","1,906.40","1,912.70","1,918.70","1,901.10","146.91K","-0.13%"
"Oct 15, 2020","1,908.90","1,906.00","1,913.20","1,892.70","213.57K","0.08%"
"Oct 14, 2020","1,907.30","1,895.40","1,917.50","1,885.00","188.30K","0.67%"
"Oct 13, 2020","1,894.60","1,927.30","1,930.60","1,889.30","267.54K","-1.78%"
"Oct 12, 2020","1,928.90","1,935.00","1,939.40","1,923.80","157.21K","0.14%"
"Oct 09, 2020","1,926.20","1,898.40","1,936.80","1,898.00","229.85K","1.64%"
"Oct 08, 2020","1,895.10","1,890.60","1,905.30","1,885.30","185.45K","0.23%"
"Oct 07, 2020","1,890.80","1,882.60","1,902.40","1,877.10","188.59K","-0.94%"
"Oct 06, 2020","1,908.80","1,917.80","1,927.00","1,878.20","219.44K","-0.59%"
"Oct 05, 2020","1,920.10","1,910.90","1,924.90","1,891.20","177.59K","0.66%"
"Oct 02, 2020","1,907.60","1,911.00","1,923.60","1,895.20","212.73K","-0.45%"
"Oct 01, 2020","1,916.30","1,891.20","1,917.90","1,890.00","262.09K","1.10%"
"Sep 30, 2020","1,895.50","1,903.20","1,908.20","1,885.80","259.87K","-0.40%"
