Date,Price,Open,High,Low,Vol.,Change %
29-Oct-20,77.1,76.2,77.68,75.46,4.65M,1.34%
28-Oct-20,76.08,76.68,77.43,75.79,4.42M,-2.39%
27-Oct-20,77.94,79.3,79.73,77.94,2.26M,-1.60%
26-Oct-20,79.21,79.74,79.86,78.51,2.69M,-1.43%
23-Oct-20,80.36,80.18,80.67,79.69,2.59M,0.60%
22-Oct-20,79.88,79.88,80.22,79.53,3.83M,-0.01%
21-Oct-20,79.89,79.91,80.27,79.51,2.69M,-0.30%
20-Oct-20,80.13,80.09,80.74,79.93,4.04M,0.72%
19-Oct-20,79.56,81.03,81.2,79.44,5.11M,-1.56%
16-Oct-20,80.82,81.41,81.43,80.67,2.93M,-0.71%
15-Oct-20,81.4,80.52,82.06,80.44,2.92M,0.52%
14-Oct-20,80.98,81.95,82.07,80.87,4.65M,-1.22%
13-Oct-20,81.98,83.06,83.06,81.5,4.41M,-1.71%
12-Oct-20,83.41,83.18,83.64,82.55,5.66M,0.47%
11-Oct-20,83.02,83.02,83.02,83.02,-,0.00%
9-Oct-20,83.02,83.86,83.88,82.73,6.56M,-0.40%
8-Oct-20,83.35,82.45,83.56,82.3,2.27M,1.67%
7-Oct-20,81.98,82.38,82.39,81.6,2.36M,0.15%
6-Oct-20,81.86,82.61,83.07,81.54,5.83M,-0.66%
5-Oct-20,82.4,82.3,82.52,80.87,2.65M,0.57%
4-Oct-20,81.93,81.93,81.93,81.93,-,0.00%
3-Oct-20,81.93,81.93,81.93,81.93,-,0.00%
2-Oct-20,81.93,79.39,82.19,79.19,3.35M,1.73%
1-Oct-20,80.54,79.28,80.59,78.94,6.41M,2.00%
30-Sep-20,78.96,79.12,79.88,78.17,4.51M,0.30%
29-Sep-20,78.72,78.84,79.33,78.08,3.66M,-0.72%
28-Sep-20,79.29,78.79,79.66,78.7,3.47M,2.05%
27-Sep-20,77.7,77.7,77.7,77.7,-,0.00%
26-Sep-20,77.7,77.7,77.7,77.7,-,0.00%
25-Sep-20,77.7,75.91,77.73,75.72,3.50M,1.28%
24-Sep-20,76.72,76.38,77.81,75.96,6.81M,0.54%
23-Sep-20,76.31,78.56,78.67,76.22,7.88M,-3.01%
22-Sep-20,78.68,77.89,79.31,77.83,4.49M,1.20%
21-Sep-20,77.75,79.16,79.16,77.32,5.30M,-3.01%
18-Sep-20,80.16,81.98,81.98,80.02,5.02M,-2.26%
17-Sep-20,82.01,82.77,83.34,81.49,5.98M,-1.95%
16-Sep-20,83.64,83.7,84.49,83.29,3.72M,0.53%
15-Sep-20,83.2,82.55,83.97,82.54,3.02M,1.20%
14-Sep-20,82.21,80.77,82.44,80.69,3.73M,2.44%
13-Sep-20,80.25,80.25,80.25,80.25,-,0.00%
11-Sep-20,80.25,80.89,80.98,79.51,4.26M,-0.56%
10-Sep-20,80.7,81.61,81.9,80.62,4.31M,-1.22%
9-Sep-20,81.7,81.42,82.73,81.26,3.16M,0.99%
8-Sep-20,80.9,81.51,81.59,80.34,3.77M,-1.22%
4-Sep-20,81.9,82.57,83.1,80.53,4.96M,-0.52%
3-Sep-20,82.33,83.43,84.04,81.71,5.72M,-1.20%
2-Sep-20,83.33,81.72,83.45,81.26,3.14M,1.86%
1-Sep-20,81.81,81.41,81.88,80.89,3.50M,0.07%
31-Aug-20,81.75,82.39,82.45,81.44,4.84M,-1.02%
30-Aug-20,82.59,82.59,82.59,82.59,-,0.00%
28-Aug-20,82.59,82.18,82.59,81.34,4.55M,0.66%
27-Aug-20,82.05,81.11,82.3,81.11,4.01M,1.47%
26-Aug-20,80.86,81.41,81.41,80.38,3.14M,-0.92%
25-Aug-20,81.61,81.64,81.78,80.84,3.12M,0.26%
24-Aug-20,81.4,81,81.41,79.94,2.55M,0.64%
23-Aug-20,80.88,80.88,80.88,80.88,-,0.00%
21-Aug-20,80.88,80.74,81.23,79.89,3.38M,0.16%
20-Aug-20,80.75,79.6,81.26,79.43,2.95M,0.95%
19-Aug-20,79.99,81.5,81.5,79.84,4.38M,-1.76%
18-Aug-20,81.42,81.75,81.91,80.92,3.64M,-0.48%
17-Aug-20,81.81,81.19,81.83,80.86,2.75M,0.81%
14-Aug-20,81.15,80.93,81.91,80.84,3.40M,0.01%
13-Aug-20,81.14,81.89,82.57,80.93,3.59M,-1.23%
12-Aug-20,82.15,82.01,82.28,81.64,2.25M,1.01%
11-Aug-20,81.33,83.33,83.46,81.03,5.19M,-1.44%
10-Aug-20,82.52,82.63,83.02,82.16,3.41M,0.16%
9-Aug-20,82.39,82.39,82.39,82.39,-,0.00%
8-Aug-20,82.39,82.39,82.39,82.39,-,0.00%
7-Aug-20,82.39,80.95,82.42,80.92,4.45M,1.43%
6-Aug-20,81.23,80.82,81.45,80.71,3.65M,0.16%
5-Aug-20,81.1,81.9,82.05,80.72,3.37M,-0.50%
4-Aug-20,81.51,80.31,81.71,80.16,4.08M,1.49%
3-Aug-20,80.31,81.26,81.26,79.88,5.63M,-1.33%
2-Aug-20,81.39,81.39,81.39,81.39,-,0.00%
31-Jul-20,81.39,81.45,81.5,80.12,9.31M,-0.18%
30-Jul-20,81.54,81,81.61,80.48,6.60M,-0.65%
29-Jul-20,82.07,80.96,82.07,80.82,5.43M,1.94%
28-Jul-20,80.51,78.87,80.89,78.74,6.61M,1.99%
27-Jul-20,78.94,77.99,79.03,77.24,4.11M,0.95%
26-Jul-20,78.2,78.2,78.2,78.2,-,0.00%
25-Jul-20,78.2,78.2,78.2,78.2,-,0.00%
24-Jul-20,78.2,78.61,78.98,78.08,2.70M,-0.74%
23-Jul-20,78.78,78.88,79.38,77.82,4.63M,-0.42%
22-Jul-20,79.11,77.56,79.17,77.36,2.68M,1.53%
21-Jul-20,77.92,78.38,78.74,77.71,3.01M,0.24%
20-Jul-20,77.73,78.51,78.58,77.46,4.36M,-1.19%
17-Jul-20,78.67,77.92,79,77.47,3.72M,1.30%
16-Jul-20,77.66,78.08,78.44,77.36,3.61M,-1.20%
15-Jul-20,78.6,79.29,79.29,78.05,3.55M,0.98%
14-Jul-20,77.84,77.28,78.05,76.95,3.47M,0.84%
13-Jul-20,77.19,78.38,78.84,77.06,6.07M,-1.19%
12-Jul-20,78.12,78.12,78.12,78.12,-,0.00%
11-Jul-20,78.12,78.12,78.12,78.12,-,0.00%
10-Jul-20,78.12,77.72,78.48,77.56,3.81M,0.31%
9-Jul-20,77.88,78.23,78.24,76.66,3.46M,-0.63%
8-Jul-20,78.37,78.59,78.88,77.66,3.85M,-0.14%
7-Jul-20,78.48,79.13,79.49,78.38,3.39M,-1.99%
6-Jul-20,80.07,81.67,81.72,79.95,6.17M,-0.05%
5-Jul-20,80.11,80.11,80.11,80.11,-,0.00%
4-Jul-20,80.11,80.11,80.11,80.11,-,0.00%
2-Jul-20,80.11,81.68,81.86,79.75,4.59M,-0.29%
1-Jul-20,80.34,78.7,80.66,78.63,5.02M,2.30%
30-Jun-20,78.53,77.68,78.91,77.39,5.21M,1.19%
29-Jun-20,77.61,77.01,77.67,75.86,4.69M,1.93%
26-Jun-20,76.14,77.36,77.65,76.05,7.28M,-1.92%
25-Jun-20,77.63,76.19,77.7,76.03,6.63M,0.28%
24-Jun-20,77.41,78.67,78.87,75.66,7.03M,-2.85%
23-Jun-20,79.68,80.81,80.92,79.46,3.96M,-0.41%
22-Jun-20,80.01,79.8,80.23,78.7,4.00M,-0.10%
19-Jun-20,80.09,82.45,82.45,79.68,10.40M,-1.45%
18-Jun-20,81.27,81.38,81.72,80.82,5.01M,-1.10%
17-Jun-20,82.17,83.91,83.91,82.16,5.04M,-1.45%
16-Jun-20,83.38,84.6,84.82,82.05,5.81M,1.97%
15-Jun-20,81.77,78.17,82.19,78.07,6.14M,1.41%
12-Jun-20,80.63,80.55,80.92,78.43,8.87M,3.58%
11-Jun-20,77.84,79.58,80.62,77.74,8.61M,-6.42%
10-Jun-20,83.18,84.82,85.08,82.56,6.43M,-2.54%
9-Jun-20,85.35,85.17,85.9,84.31,7.17M,-1.66%
8-Jun-20,86.79,86.01,86.79,85.69,7.13M,2.48%
7-Jun-20,84.69,84.69,84.69,84.69,-,0.00%
5-Jun-20,84.69,84.49,86.07,84.3,6.16M,3.79%
4-Jun-20,81.6,82,82.02,80.87,5.50M,-0.99%
3-Jun-20,82.42,80.72,82.76,80.68,7.49M,3.21%
2-Jun-20,79.86,79.85,80.1,79.04,7.16M,0.81%
