Date,Sum,GOLD,sp500,VNQ,BITCOIN
2019-10-29,3554.71,1520.6,2938.13,80.98,9387.3
2019-10-30,3581.21,1526.5,2970.27,81.98,9162.4
2019-10-31,3576.71,1544.0,2966.15,83.41,9208.0
2019-11-01,3608.08,1541.3,2995.68,83.02,9170.2
2019-11-04,3646.2300000000005,1541.6,2989.69,83.02,9155.8
2019-11-05,3639.78,1514.5,2997.95,83.35,9135.3
2019-11-06,3631.2300000000005,1523.9,2986.2,81.98,9198.7
2019-11-07,3639.9900000000002,1497.7,3006.72,81.86,9253.4
2019-11-08,3642.3300000000004,1496.3,2995.99,82.4,9243.6
2019-11-11,3619.2700000000004,1488.0,3004.52,81.93,9300.8
2019-11-12,3627.1800000000003,1484.2,3010.29,81.93,9233.3
2019-11-13,3591.71,1493.9,3022.55,81.93,9285.1
2019-11-14,3612.18,1504.0,3039.42,80.54,9235.7
2019-11-15,3629.6,1499.1,3036.89,78.96,9429.9
2019-11-18,3639.12,1502.4,3046.77,78.72,9256.0
2019-11-19,3633.87,1504.8,3037.56,79.29,9339.0
2019-11-20,3615.8599999999997,1504.5,3066.91,77.7,9081.0
2019-11-21,3609.9700000000003,1494.0,3078.27,77.7,9134.4
2019-11-22,3614.13,1494.4,3074.62,77.7,9067.1
2019-11-25,3661.41,1488.1,3076.78,76.72,9085.1
2019-11-26,3687.4700000000003,1491.0,3085.18,76.31,9229.9
2019-11-27,3715.5299999999997,1484.4,3093.08,78.68,9135.4
2019-11-28,,1462.25,3087.01,77.75,9185.4
2019-11-29,3688.0,1496.6,3091.84,80.16,9124.0
2019-12-02,3646.1899999999996,1493.1,3094.04,82.01,9008.3
2019-12-03,3634.54,1508.6,3096.63,83.64,9160.0
2019-12-04,3648.1000000000004,1504.5,3120.46,83.2,9247.5
2019-12-05,3636.06,1507.5,3122.03,82.21,9302.0
2019-12-06,3667.0699999999997,1489.9,3120.18,80.25,9624.6
2019-12-09,3663.0699999999997,1489.8,3108.46,80.25,9683.7
2019-12-10,3643.21,1493.2,3103.54,80.7,9296.4
2019-12-11,3661.85,1500.1,3110.29,81.7,9358.8
2019-12-12,3671.87,1497.5,3133.64,80.9,9314.0
2019-12-13,3669.21,1506.9,3140.52,81.9,9388.1
2019-12-16,3702.01,1506.7,3153.63,82.33,9464.6
2019-12-17,3729.5200000000004,1506.8,3140.98,83.33,9523.5
2019-12-18,3729.1800000000003,1504.3,3113.87,81.81,9425.4
2019-12-19,3757.0099999999998,1510.0,3093.2,81.75,9345.3
2019-12-20,3750.7799999999997,1506.4,3112.76,82.59,9471.3
2019-12-23,3753.91,1514.4,3117.43,82.59,9466.6
2019-12-24,3743.0299999999997,1530.5,3145.91,82.05,9283.2
2019-12-25,,1504.05,3135.96,80.86,9878.8
2019-12-26,3844.1400000000003,1540.3,3132.52,81.61,9768.8
2019-12-27,3834.08,1544.4,3141.63,81.4,9777.9
2019-12-30,3787.2000000000003,1545.4,3168.57,80.88,9742.6
2019-12-31,3789.46,1550.6,3168.8,80.88,9669.6
2020-01-01,,1520.95,3191.45,80.75,9631.2
2020-01-02,3881.37,1555.2,3192.52,79.99,9794.4
2020-01-03,3845.42,1579.6,3191.14,81.42,9667.2
2020-01-06,3924.07,1596.1,3205.37,81.81,9527.6
2020-01-07,3920.38,1601.3,3221.22,81.15,10189.3
