,GOLD,sp500,VNQ,Date,FAANG
2019-10-14,1527.1,2984.87,77.1,,
2019-10-15,1513.1,2977.62,76.08,,
2019-10-16,1523.4,2961.79,77.94,,
2019-10-17,1527.8,2976.74,79.21,,
2019-10-18,1523.0,2940.25,80.36,,
2019-10-21,1517.3,2887.61,79.88,,
2019-10-22,1516.6,2910.63,79.89,,
2019-10-23,1524.9,2952.01,80.13,,
2019-10-24,1533.9,2938.79,79.56,,
2019-10-25,1535.1,2893.06,80.82,,
2019-10-28,1525.8,2919.4,81.4,,
2019-10-29,1520.6,2938.13,80.98,,
2019-10-30,1526.5,2970.27,81.98,,
2019-10-31,1544.0,2966.15,83.41,,
2019-11-01,1541.3,2995.68,83.02,,
2019-11-04,1541.6,2989.69,83.02,,
2019-11-05,1514.5,2997.95,83.35,,
2019-11-06,1523.9,2986.2,81.98,,
2019-11-07,1497.7,3006.72,81.86,,
2019-11-08,1496.3,2995.99,82.4,,
2019-11-11,1488.0,3004.52,81.93,,
2019-11-12,1484.2,3010.29,81.93,,
2019-11-13,1493.9,3022.55,81.93,,
2019-11-14,1504.0,3039.42,80.54,,
2019-11-15,1499.1,3036.89,78.96,,
2019-11-18,1502.4,3046.77,78.72,,
2019-11-19,1504.8,3037.56,79.29,,
2019-11-20,1504.5,3066.91,77.7,,
2019-11-21,1494.0,3078.27,77.7,,
2019-11-22,1494.4,3074.62,77.7,,
2019-11-25,1488.1,3076.78,76.72,,
2019-11-26,1491.0,3085.18,76.31,,
2019-11-27,1484.4,3093.08,78.68,,
2019-11-28,1462.25,3087.01,77.75,,
2019-11-29,1496.6,3091.84,80.16,,
2019-12-02,1493.1,3094.04,82.01,,
2019-12-03,1508.6,3096.63,83.64,,
2019-12-04,1504.5,3120.46,83.2,,
2019-12-05,1507.5,3122.03,82.21,,
2019-12-06,1489.9,3120.18,80.25,,
2019-12-09,1489.8,3108.46,80.25,,
2019-12-10,1493.2,3103.54,80.7,,
2019-12-11,1500.1,3110.29,81.7,,
2019-12-12,1497.5,3133.64,80.9,,
2019-12-13,1506.9,3140.52,81.9,,
2019-12-16,1506.7,3153.63,82.33,,
2019-12-17,1506.8,3140.98,83.33,,
2019-12-18,1504.3,3113.87,81.81,,
2019-12-19,1510.0,3093.2,81.75,,
